ticker,company_name,sector_group,metric,flag_type,fact_period_end,reference_period_end
A,Agilent Technologies,Healthcare,news_mentions_30d,assumption,,2025-10-31
A,Agilent Technologies,Healthcare,risk_news_mentions_30d,assumption,,2025-10-31
AAPL,Apple,Technology,interest_expense,stale,2023-09-30,2025-09-27
AAPL,Apple,Technology,news_mentions_30d,assumption,,2025-09-27
AAPL,Apple,Technology,risk_news_mentions_30d,assumption,,2025-09-27
ABBV,AbbVie,Healthcare,leverage_proxy,assumption,,2025-12-31
ABBV,AbbVie,Healthcare,news_mentions_30d,assumption,,2025-12-31
ABBV,AbbVie,Healthcare,risk_news_mentions_30d,assumption,,2025-12-31
ABNB,Airbnb,Industrials,capex,stale,2022-12-31,2025-12-31
ABNB,Airbnb,Industrials,fcf_to_assets,assumption,,2025-12-31
ABNB,Airbnb,Industrials,news_mentions_30d,assumption,,2025-12-31
ABNB,Airbnb,Industrials,risk_news_mentions_30d,assumption,,2025-12-31
ABT,Abbott Laboratories,Healthcare,interest_expense,stale,2023-12-31,2025-12-31
ABT,Abbott Laboratories,Healthcare,leverage_proxy,assumption,,2025-12-31
ABT,Abbott Laboratories,Healthcare,news_mentions_30d,assumption,,2025-12-31
ABT,Abbott Laboratories,Healthcare,risk_news_mentions_30d,assumption,,2025-12-31
ACGL,Arch Capital Group,Financials,debt_to_assets,assumption,,2025-12-31
ACGL,Arch Capital Group,Financials,current_ratio,assumption,,2025-12-31
ACGL,Arch Capital Group,Financials,news_mentions_30d,assumption,,2025-12-31
ACGL,Arch Capital Group,Financials,risk_news_mentions_30d,assumption,,2025-12-31
ACN,Accenture,Technology,leverage_proxy,assumption,,2025-08-31
ACN,Accenture,Technology,debt_to_assets,assumption,,2025-08-31
ACN,Accenture,Technology,news_mentions_30d,assumption,,2025-08-31
ACN,Accenture,Technology,risk_news_mentions_30d,assumption,,2025-08-31
ADBE,Adobe Inc.,Industrials,interest_expense,stale,2023-12-01,2025-11-28
ADBE,Adobe Inc.,Industrials,news_mentions_30d,assumption,,2025-11-28
ADBE,Adobe Inc.,Industrials,risk_news_mentions_30d,assumption,,2025-11-28
ADI,Analog Devices,Industrials,interest_expense,stale,2023-10-28,2025-11-01
ADI,Analog Devices,Industrials,leverage_proxy,assumption,,2025-11-01
ADI,Analog Devices,Industrials,news_mentions_30d,assumption,,2025-11-01
ADI,Analog Devices,Industrials,risk_news_mentions_30d,assumption,,2025-11-01
ADM,Archer Daniels Midland,Consumer Staples,leverage_proxy,assumption,,2025-12-31
ADM,Archer Daniels Midland,Consumer Staples,news_mentions_30d,assumption,,2025-12-31
ADM,Archer Daniels Midland,Consumer Staples,risk_news_mentions_30d,assumption,,2025-12-31
ADP,Automatic Data Processing,Industrials,short_term_debt,stale,2021-06-30,2025-06-30
ADP,Automatic Data Processing,Industrials,fcf_to_assets,assumption,,2025-06-30
ADP,Automatic Data Processing,Industrials,news_mentions_30d,assumption,,2025-06-30
ADP,Automatic Data Processing,Industrials,risk_news_mentions_30d,assumption,,2025-06-30
ADSK,Autodesk,Industrials,leverage_proxy,assumption,,2026-01-31
ADSK,Autodesk,Industrials,news_mentions_30d,assumption,,2026-01-31
ADSK,Autodesk,Industrials,risk_news_mentions_30d,assumption,,2026-01-31
AEE,Ameren,Utilities,leverage_proxy,assumption,,2025-12-31
AEE,Ameren,Utilities,news_mentions_30d,assumption,,2025-12-31
AEE,Ameren,Utilities,risk_news_mentions_30d,assumption,,2025-12-31
AEP,American Electric Power,Industrials,interest_expense,stale,2023-12-31,2025-12-31
AEP,American Electric Power,Industrials,news_mentions_30d,assumption,,2025-12-31
AEP,American Electric Power,Industrials,risk_news_mentions_30d,assumption,,2025-12-31
AES,AES Corporation,Utilities,leverage_proxy,assumption,,2025-12-31
AES,AES Corporation,Utilities,debt_to_assets,assumption,,2025-12-31
AES,AES Corporation,Utilities,news_mentions_30d,assumption,,2025-12-31
AES,AES Corporation,Utilities,risk_news_mentions_30d,assumption,,2025-12-31
AFL,Aflac,Financials,interest_expense,stale,2023-12-31,2025-12-31
AFL,Aflac,Financials,debt_to_assets,assumption,,2025-12-31
AFL,Aflac,Financials,fcf_to_assets,assumption,,2025-12-31
AFL,Aflac,Financials,current_ratio,assumption,,2025-12-31
AFL,Aflac,Financials,news_mentions_30d,assumption,,2025-12-31
AFL,Aflac,Financials,risk_news_mentions_30d,assumption,,2025-12-31
AIG,American International Group,Financials,capex,stale,2023-12-31,2025-12-31
AIG,American International Group,Financials,short_term_debt,stale,2023-12-31,2025-12-31
AIG,American International Group,Financials,fcf_to_assets,assumption,,2025-12-31
AIG,American International Group,Financials,current_ratio,assumption,,2025-12-31
AIG,American International Group,Financials,news_mentions_30d,assumption,,2025-12-31
AIG,American International Group,Financials,risk_news_mentions_30d,assumption,,2025-12-31
AIZ,Assurant,Financials,interest_expense,stale,2023-12-31,2025-12-31
