ticker,score_period,period_end,leverage_proxy,debt_to_assets,cash_to_assets,net_margin,fcf_to_assets,accrual_proxy,current_ratio,assets,liabilities,cash,current_assets,current_liabilities,total_debt,accounts_receivable,ppe_net,revenue,net_income,cfo,capex,fcf,interest_expense,depreciation,cogs,sga,company_name,sector_group,industry_group,index_memberships,cik,sec_available,assets_latest,liabilities_latest,cash_latest,current_assets_latest,current_liabilities_latest,total_debt_latest,accounts_receivable_latest,ppe_net_latest,revenue_latest,net_income_latest,cfo_latest,capex_latest,fcf_latest,interest_expense_latest,depreciation_latest,cogs_latest,sga_latest,leverage_proxy_is_assumption,debt_to_assets_is_assumption,cash_to_assets_is_assumption,net_margin_is_assumption,fcf_to_assets_is_assumption,accrual_proxy_is_assumption,current_ratio_is_assumption,assets_is_assumption,liabilities_is_assumption,cash_is_assumption,current_assets_is_assumption,current_liabilities_is_assumption,total_debt_is_assumption,revenue_is_assumption,net_income_is_assumption,cfo_is_assumption,capex_is_assumption,fcf_is_assumption,interest_expense_is_assumption,depreciation_is_assumption,last_close,ret_1m,ret_3m,vol_3m,drawdown_6m,market_data_available,last_close_is_assumption,ret_1m_is_assumption,ret_3m_is_assumption,vol_3m_is_assumption,drawdown_6m_is_assumption,reference_period_end,news_mentions_30d,risk_news_mentions_30d,news_data_available,news_mentions_30d_is_assumption,risk_news_mentions_30d_is_assumption,assumption_metric_count,stale_fact_count,data_quality_score,data_quality_note,beneish_m,velocity_signal_count,velocity_trigger,negative_fcf_quarters_l4,fcf_ebitda_conversion,cash_burn_to_cash,ebitda_proxy,net_debt,net_debt_to_ebitda,ebitda_interest_coverage,score_leverage,score_debt,score_net_debt_ebitda,score_interest_coverage,score_cash,score_margin,score_fcf,score_current_ratio,score_negative_fcf_quarters,score_fcf_conversion,score_cash_burn,score_fcf_sustainability,financial_performance_score,score_negative_momentum,score_volatility,score_drawdown,market_implied_risk_score,sector_base_risk,sector_quality_score,score_sloan_accruals,score_beneish,accounting_integrity_assumption_used,accounting_integrity_score,fraud_quality_subscore,fraud_risk_subscore,fraud_watch_flag,news_sentiment_score,news_sentiment_assumption_used,facility_liquidity_score,facility_liquidity_risk_proxy,behavioral_payment_score,behavioral_payment_risk_proxy,sector_density_count,sector_density_score,connectivity_contagion_score,connectivity_contagion_risk_proxy,governance_discipline_score,governance_discipline_risk_proxy,collateral_recovery_score,collateral_recovery_risk_proxy,raw_surveillance_score,surveillance_score,ewif_score,alert_level,alert_tier,top_risk_drivers,top_driver_objects
A,2024Q1,2024-01-31,0.4347826086956521,0.2333759590792838,0.159846547314578,0.12,0.05,0.02,2.6827458256029684,10948000000.0,4760000000.0,1750000000.0,4338000000.0,1617000000.0,2555000000.0,1295000000.0,1314000000.0,6948000000.0,1303000000.0,1559000000.0,407000000.0,1152000000.0,112000000.0,288000000.0,,,Agilent Technologies,Healthcare,Life Sciences Tools & Services,S&P 500,1090872,True,12727000000.0,5986000000.0,1789000000.0,4594000000.0,2347000000.0,3354000000.0,1487000000.0,2023000000.0,6948000000.0,1303000000.0,1559000000.0,407000000.0,1152000000.0,112000000.0,288000000.0,3305000000.0,1709000000.0,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,143.02694702148438,0.059332906288721565,0.0428280452171097,0.2440286833383923,-0.025450292154457155,True,False,False,False,False,False,2024-01-31,0,0,False,True,True,12,0,68.9,Quarterly assumption-heavy; use with caution,,0,False,,,,1703000000.0,805000000.0,0.4726952436876101,15.205357142857142,81.5217391304348,92.49680306905371,97.63652378156195,100.0,86.4769820971867,78.0,75.0,95.60915275200989,50.0,50.0,50.0,50.0,84.08235564780523,60.70701130427742,66.19426333232154,92.36491235366286,73.08872899675394,40,85.0,74.0,,True,77.51117782390261,74.0,26.0,False,78.76907119271854,True,96.38206493853171,3.6179350614682875,87.3914040707488,12.608595929251194,52,69.6,81.78374228708299,18.216257712917013,83.27876894849686,16.72123105150314,95.32455334626972,4.675446653730276,84.07355219578518,84.07355219578518,84.07355219578518,Green,None,Market-Implied Risk: 73; Accounting Integrity: 78; News & Sentiment: 79,"[('market_implied_risk_score', 73.08872899675394), ('accounting_integrity_score', 77.51117782390261), ('news_sentiment_score', 78.76907119271854)]"
AAPL,2024Q1,2024-03-30,0.7801079395751769,0.3040594408599601,0.1005331776379549,0.18,0.08,0.02,1.0371016459110658,337411000000.0,263217000000.0,33921000000.0,128416000000.0,123822000000.0,102593000000.0,21837000000.0,43546000000.0,416161000000.0,112010000000.0,111482000000.0,12715000000.0,98767000000.0,3933000000.0,11698000000.0,,,Apple,Technology,,Dow; Nasdaq 100; S&P 500,320193,True,359241000000.0,285508000000.0,35934000000.0,147957000000.0,165631000000.0,103028000000.0,39777000000.0,49834000000.0,416161000000.0,112010000000.0,111482000000.0,12715000000.0,98767000000.0,3933000000.0,11698000000.0,220960000000.0,27601000000.0,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,169.93345642089844,-0.05128633687313322,-0.11303437609733213,0.20704597781492712,-0.13331582858535207,True,False,False,False,False,False,2024-03-30,0,0,False,True,True,12,0,68.9,Quarterly assumption-heavy; use with caution,,0,False,,,,127641000000.0,68672000000.0,0.5380089469684506,32.45385202135774,35.98560805664308,87.19554193550299,97.30995526515775,100.0,70.86662218227283,87.0,88.0,51.85508229555329,50.0,50.0,50.0,50.0,74.24586774834778,31.160937317111312,73.59080443701457,64.44736190244133,56.39970121885574,42,81.0,74.0,,True,72.5929338741739,74.0,26.0,False,66.67361093393221,True,80.88681404237884,19.113185957621155,79.32878415831163,20.671215841688365,43,72.8,70.85458773527154,29.145412264728463,76.07439652653086,23.92560347346914,82.53970736407142,17.46029263592858,73.25009637291019,73.25009637291019,73.25009637291019,Green,None,Market-Implied Risk: 56; News & Sentiment: 67; Connectivity & Contagion: 71,"[('market_implied_risk_score', 56.39970121885574), ('news_sentiment_score', 66.67361093393221), ('connectivity_contagion_score', 70.85458773527154)]"
ABBV,2024Q1,2024-03-31,0.65,2.0151268858229107e-05,0.121357658153875,0.1101593662114221,0.1470438088584978,-0.1121283770168061,0.9361543278262128,148874000000.0,9296000000.0,18067000000.0,38871000000.0,41522000000.0,3000000.0,11949000000.0,4980000000.0,54403000000.0,5993000000.0,22686000000.0,795000000.0,21891000000.0,2331000000.0,756000000.0,20523000000.0,13148000000.0,AbbVie,Healthcare,Biotechnology,S&P 500,1551152,True,133960000000.0,,5229000000.0,29062000000.0,43289000000.0,67002000000.0,12589000000.0,5628000000.0,61160000000.0,4226000000.0,19030000000.0,1214000000.0,17816000000.0,2893000000.0,762000000.0,18204000000.0,14010000000.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,168.5982208251953,0.03436534400308844,0.18797956493999823,0.14566221218545716,0.0,True,False,False,False,False,False,2024-03-31,0,0,False,True,True,4,0,89.6,Strong quarterly public-data coverage,,0,False,,,,9080000000.0,-18064000000.0,-1.9894273127753304,3.8953238953238953,55.0,99.99949621827854,100.0,63.69154869154869,76.81647375825,76.52390493171332,100.0,43.615432782621276,50.0,50.0,50.0,50.0,73.96076182026798,89.66326082333303,85.43377878145428,100.0,91.69901320159578,40,85.0,91.21283770168061,,True,82.10294845047011,91.21283770168061,8.787162298319387,False,85.03773514687828,True,81.08402867019058,18.915971329809423,87.70891001140099,12.291089988599012,52,69.6,93.48210297009375,6.517897029906251,86.95791295348471,13.042087046515292,92.0939127603516,7.9060872396484,84.53292628067803,84.53292628067803,84.53292628067803,Green,None,Financial Performance: 74; Facility & Liquidity: 81; Accounting Integrity: 82,"[('financial_performance_score', 73.96076182026798), ('facility_liquidity_score', 81.08402867019058), ('accounting_integrity_score', 82.10294845047011)]"
ABNB,2024Q1,2024-03-31,0.6782002689815381,0.0811835187675755,0.6736357337897868,0.4822771213748657,0.04,0.029302685739903,1.4423226536530165,24537000000.0,16641000000.0,16529000000.0,20393000000.0,14139000000.0,1992000000.0,,171000000.0,10241000000.0,4939000000.0,4220000000.0,25000000.0,1313937500.0,192296000.0,17000000.0,1755000000.0,2069000000.0,Airbnb,Industrials,,Nasdaq 100; S&P 500,1559720,True,22208000000.0,14009000000.0,6560000000.0,18797000000.0,13649000000.0,1999000000.0,,107000000.0,12241000000.0,2511000000.0,4646000000.0,25000000.0,,,17000000.0,2086000000.0,1342000000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,164.9600067138672,0.0475646499974709,0.20408764024720583,0.32040607390730247,-0.01914607029458959,True,False,False,False,False,False,2024-03-31,0,0,False,True,True,7,0,81.9,Usable quarterly coverage; some missing fields,,0,False,,,,5148296000.0,-14537000000.0,-2.823652719268667,26.772766984232643,50.769959652769295,97.9704120308106,100.0,100.0,100.0,100.0,70.0,72.11613268265083,50.0,50.0,50.0,50.0,82.31738937402564,92.34794004120097,53.265654348782924,94.25617891162312,79.95659110053568,45,75.0,71.2091942780291,,True,79.97053354261864,71.2091942780291,28.790805721970898,False,79.67351236247552,True,93.59198405811173,6.408015941888266,89.5493299742914,10.450670025708604,141,51.8,83.85516846773615,16.14483153226385,85.5585960596024,14.441403940397606,91.68976514898195,8.310234851018052,84.90664718180302,84.90664718180302,84.90664718180302,Green,None,News & Sentiment: 80; Market-Implied Risk: 80; Accounting Integrity: 80,"[('news_sentiment_score', 79.67351236247552), ('market_implied_risk_score', 79.95659110053568), ('accounting_integrity_score', 79.97053354261864)]"
ABT,2024Q1,2024-03-31,0.65,0.2012778230090938,0.0867153324961706,0.1396121608887566,0.0679343701270923,-0.0208784688202906,1.5958918764710075,72467000000.0,9296000000.0,6284000000.0,22376000000.0,14021000000.0,14586000000.0,6605000000.0,10107000000.0,40326000000.0,5630000000.0,7143000000.0,2220000000.0,4923000000.0,625000000.0,1295000000.0,18107000000.0,11146000000.0,Abbott Laboratories,Healthcare,Health Care Equipment,S&P 500,1800,True,86713000000.0,,8522000000.0,25996000000.0,16496000000.0,15962000000.0,7929000000.0,11816000000.0,44328000000.0,6524000000.0,9566000000.0,2171000000.0,7395000000.0,637000000.0,1434000000.0,19319000000.0,12332000000.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,108.65670013427734,-0.04197578383809286,0.034502568813990164,0.17581688999944792,-0.06035051364237931,True,False,False,False,False,False,2024-03-31,0,0,False,True,True,4,0,89.6,Strong quarterly public-data coverage,,0,False,,,,7550000000.0,8302000000.0,1.0996026490066224,12.08,55.0,94.90416327431797,94.00397350993377,100.0,66.91866642747732,80.94182413331349,83.96718506354615,76.91783752942015,50.0,50.0,50.0,50.0,78.07262777088987,58.62564220349754,79.83662200011041,81.89484590728621,73.45237003696472,40,85.0,82.08784688202905,,True,82.33388326185074,82.08784688202905,17.912153117970945,False,77.14797334974932,True,86.36135418889792,13.63864581110208,88.19195893005605,11.808041069943954,52,69.6,83.69316118658399,16.306838813416007,85.91176635944812,14.088233640551877,89.17355285284411,10.82644714715589,82.27696831734504,82.27696831734504,82.27696831734504,Green,None,Market-Implied Risk: 73; News & Sentiment: 77; Financial Performance: 78,"[('market_implied_risk_score', 73.45237003696472), ('news_sentiment_score', 77.14797334974932), ('financial_performance_score', 78.07262777088987)]"
ACGL,2024Q1,2024-03-31,0.6916103747132297,0.25,0.0254906958959979,0.3365030887762893,0.1002740249808819,-0.023929390772368,1.0,62768000000.0,43411000000.0,1600000000.0,12155966500.0,11508610500.0,11194000000.0,,,14407000000.0,4848000000.0,6350000000.0,56000000.0,6294000000.0,135000000.0,385000000.0,,125000000.0,Arch Capital Group,Financials,Property & Casualty Insurance,S&P 500,947484,True,79241000000.0,55035000000.0,993000000.0,,,,,,19929000000.0,4399000000.0,6172000000.0,44000000.0,6128000000.0,148000000.0,,,132000000.0,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,87.90106201171875,0.05537167114199826,0.2481771681117766,0.16800101397051778,0.0,True,False,False,False,False,False,2024-03-31,0,0,False,True,True,8,0,79.3,Usable quarterly coverage; some missing fields,,0,False,,,,5368000000.0,9594000000.0,1.78725782414307,39.762962962962966,48.758443793015545,91.25,87.1274217585693,100.0,36.9937972639986,100.0,94.08220749426457,50.0,50.0,50.0,50.0,50.0,73.13465225664977,99.6961946852961,81.39979720589645,100.0,93.69866396373085,45,75.0,82.3929390772368,,True,76.83591394377225,82.3929390772368,17.607060922763196,False,83.78972765886036,True,72.6228181939571,27.3771818060429,84.8561079262849,15.143892073715094,75,65.0,90.60234431545095,9.39765568454905,83.08052364074257,16.91947635925743,84.0037420367429,15.996257963257094,80.94726571685442,80.94726571685442,80.94726571685442,Green,None,Facility & Liquidity: 73; Financial Performance: 73; Accounting Integrity: 77,"[('facility_liquidity_score', 72.6228181939571), ('financial_performance_score', 73.13465225664977), ('accounting_integrity_score', 76.83591394377225)]"
ACN,2024Q1,2024-02-29,0.55,0.18,0.099812111183574,0.108887560585516,0.08,0.02,1.2598415569049457,51307471000.0,5323150000.0,5121107000.0,20328821000.0,16136014000.0,3338900000.0,11374099000.0,1458836000.0,64573602000.0,7031262000.0,11474399000.0,600039000.0,10874360000.0,228555000.0,622493000.0,43536493000.0,,Accenture,Technology,IT Consulting & Other Services,S&P 500,1467373,True,65394897000.0,,11478729000.0,28900689000.0,20352097000.0,,13065433000.0,1566374000.0,69672977000.0,7678433000.0,11474399000.0,600039000.0,10874360000.0,228555000.0,622493000.0,47437576000.0,4350968000.0,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True,334.7141418457031,-0.07516401044040855,-0.010564258894302236,0.27225926885959617,-0.1041585651917265,True,False,False,False,False,False,2024-02-29,0,0,False,True,True,13,0,66.3,Quarterly assumption-heavy; use with caution,,0,False,,,,7882310000.0,-1782207000.0,-0.22610211981005568,34.48758504517512,70.0,95.5,100.0,100.0,70.66060319530686,76.3331340878274,88.0,62.99207784524729,50.0,50.0,50.0,50.0,79.27620168093128,48.239290184282964,61.290121856733975,69.30690580137892,59.61210594746529,42,81.0,74.0,,True,74.32810084046564,74.0,26.0,False,69.78891347801203,True,85.28284324036066,14.717156759639337,82.37374168735187,17.626258312648133,43,72.8,72.66323037196179,27.336769628038212,78.3801140838988,21.619885916101197,94.0914302521397,5.908569747860298,76.87763596479978,76.87763596479978,76.87763596479978,Green,None,Market-Implied Risk: 60; News & Sentiment: 70; Connectivity & Contagion: 73,"[('market_implied_risk_score', 59.61210594746529), ('news_sentiment_score', 69.78891347801203), ('connectivity_contagion_score', 72.66323037196179)]"
ADBE,2024Q1,2024-03-01,0.4622795728844214,0.0743626308650134,0.2175228687697819,0.09,0.04,0.02,1.04938659955961,28751000000.0,13291000000.0,6254000000.0,10008000000.0,9537000000.0,2138000000.0,2057000000.0,1988000000.0,23769000000.0,7130000000.0,10031000000.0,179000000.0,9852000000.0,113000000.0,818000000.0,,,Adobe Inc.,Industrials,,Nasdaq 100; S&P 500,796343,True,29496000000.0,17873000000.0,5431000000.0,10163000000.0,10200000000.0,6210000000.0,2344000000.0,1873000000.0,23769000000.0,7130000000.0,10031000000.0,179000000.0,9852000000.0,113000000.0,818000000.0,2551000000.0,1573000000.0,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,504.6000061035156,-0.09937891818709865,-0.15267331146868912,0.4133398666956125,-0.20505388124587254,True,False,False,False,False,False,2024-03-01,0,0,False,True,True,12,0,68.9,Quarterly assumption-heavy; use with caution,,0,False,,,,8061000000.0,-4116000000.0,-0.5106066244882769,71.33628318584071,78.77204271155786,98.14093422837466,100.0,100.0,95.12843031546728,72.0,70.0,52.46932997798049,50.0,50.0,50.0,50.0,79.61230413704226,24.554448088551815,38.33251666304844,52.49101979235458,38.45932818131828,45,75.0,74.0,,True,75.27615206852113,74.0,26.0,False,58.113355331771814,True,88.18285283516377,11.817147164836229,81.0229305072093,18.977069492790704,141,51.8,59.569368747947586,40.430631252052414,76.21506809118593,23.784931908814073,96.95262785421778,3.0473721457822194,72.78953128132235,72.78953128132235,72.78953128132235,Green,None,Market-Implied Risk: 38; News & Sentiment: 58; Connectivity & Contagion: 60,"[('market_implied_risk_score', 38.45932818131828), ('news_sentiment_score', 58.113355331771814), ('connectivity_contagion_score', 59.569368747947586)]"
ADI,2024Q1,2024-02-03,0.66,0.1332134659203069,0.026939478798087,0.09,0.04,0.02,1.5105453781702325,48388464000.0,9175083000.0,1303560000.0,4415877000.0,2923366000.0,6445995000.0,1196721000.0,3281937000.0,11019707000.0,2267342000.0,4812202000.0,533552000.0,4278650000.0,264641000.0,406801000.0,,,Analog Devices,Industrials,,Nasdaq 100; S&P 500,6281,True,47992712000.0,,2499406000.0,7108061000.0,3245801000.0,8591705000.0,1436075000.0,3315696000.0,11019707000.0,2267342000.0,4812202000.0,533552000.0,4278650000.0,264641000.0,406801000.0,4246229000.0,1255339000.0,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,191.63690185546875,0.03598178391462392,-0.007580845973607975,0.24403901740780512,-0.013149917164762437,True,False,False,False,False,False,2024-02-03,0,0,False,True,True,14,0,63.7,Quarterly assumption-heavy; use with caution,,0,False,,,,2938784000.0,5142435000.0,1.7498512990406916,11.104794797480361,53.5,96.66966335199233,87.50148700959308,96.64298049055135,37.959652532058,72.0,70.0,75.21090756340465,50.0,50.0,50.0,50.0,71.05385454973326,48.73652567106534,66.19219651843898,96.05502485057127,70.32791568002519,45,75.0,74.0,,True,69.43692727486663,74.0,26.0,False,71.48011420493256,True,75.45318664327559,24.546813356724414,77.55479702532914,22.445202974670863,141,51.8,76.06358489699785,23.936415103002147,74.69741673486978,25.302583265130224,86.9013152756552,13.098684724344807,73.70701168053846,73.70701168053846,73.70701168053846,Green,None,Accounting Integrity: 69; Market-Implied Risk: 70; Financial Performance: 71,"[('accounting_integrity_score', 69.43692727486663), ('market_implied_risk_score', 70.32791568002519), ('financial_performance_score', 71.05385454973326)]"
ADM,2024Q1,2024-03-31,0.7,0.1819955864383287,0.0883624227170761,0.0331697742885181,0.09620470171983,-0.0679907351680618,1.4701469842878865,54831000000.0,12714100000.0,4845000000.0,29006000000.0,19730000000.0,9979000000.0,4178000000.0,10596000000.0,91710000000.0,3042000000.0,6770000000.0,1495000000.0,5275000000.0,666000000.0,1080000000.0,84618000000.0,3526000000.0,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,S&P 500,7084,True,52389000000.0,,1015000000.0,26665000000.0,19534000000.0,8410000000.0,3021000000.0,11179000000.0,80269000000.0,1078000000.0,5452000000.0,1248000000.0,4204000000.0,612000000.0,1181000000.0,75236000000.0,3609000000.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,58.456993103027344,0.18263981391587003,-0.12267870523209057,0.5482496921265549,-0.17032187449546543,True,False,False,False,False,False,2024-03-31,0,0,False,True,True,4,0,89.6,Strong quarterly public-data coverage,,0,False,,,,4788000000.0,5134000000.0,1.072263993316625,7.1891891891891895,47.50000000000001,95.45011033904179,94.27736006683375,80.94594594594595,67.38926363345031,53.26790971540724,92.861410515949,73.50734921439432,50.0,50.0,50.0,50.0,72.79992771455805,29.553549127984905,21.46878848418063,58.279687584089096,36.434008398751544,38,87.8,86.79907351680617,,True,80.63977856064027,86.79907351680617,13.200926483193825,False,57.61698251374318,True,83.32391535185614,16.676084648143856,81.25131679501014,18.74868320498986,30,78.0,63.82870028218684,36.17129971781316,79.21213152363552,20.78786847636448,87.16937330950887,12.83062669049113,71.74877783200326,71.74877783200326,71.74877783200326,Green,None,Market-Implied Risk: 36; News & Sentiment: 58; Connectivity & Contagion: 64,"[('market_implied_risk_score', 36.434008398751544), ('news_sentiment_score', 57.61698251374318), ('connectivity_contagion_score', 63.82870028218684)]"
